"Active channels: X_disp, Y_disp, Z_disp, strain, X_rot"					
"Channel units: in, in, in, ustrain, rad"					
Start time: 2008-01-01T00:00:00.000Z					

Time	X_disp	Y_disp	Z_disp	strain	X_rot
0	0	0	0	0	0
0.2	0.1	0	0	0	0
0.4	0.2	0	0	0	0
0.6	0.3	0	0	0	0
0.8	0.4	0	0	0	0
1	0.5	0	0	0	0
1.2	0.6	0	0	0	0
1.4	0.7	0	0	0	0
1.6	0.8	0	0	0	0
1.8	0.9	0	0	0	0
2	1	0	0	0	0
2.2	1.1	0	0	0	0
2.4	1.2	0	0	0	0
2.6	1.3	0	0	0	0
2.8	1.4	0	0	0	0
3	1.5	0	0	0	0
3.2	1.6	0	0	0	0
3.4	1.7	0	0	0	0
3.6	1.8	0	0	0	0
3.8	1.9	0	0	0	0
4	2	0	0	0	0
4.2	2	0.1	0	0	0
4.4	2	0.2	0	0	0
4.6	2	0.3	0	0	0
4.8	2	0.4	0	0	0
5	2	0.5	0	0	0
5.2	2	0.6	0	0	0
5.4	2	0.7	0	0	0
5.6	2	0.8	0	0	0
5.8	2	0.9	0	0	0
6	2	1	0	0	0
6.2	2	1.1	0	0	0
6.4	2	1.2	0	0	0
6.6	2	1.3	0	0	0
6.8	2	1.4	0	0	0
7	2	1.5	0	0	0
7.2	2	1.6	0	0	0
7.4	2	1.7	0	0	0
7.6	2	1.8	0	0	0
7.8	2	1.9	0	0	0
8	2	2	0	0	0
8.2	2	2	0.1	0	0
8.4	2	2	0.2	0	0
8.6	2	2	0.3	0	0
8.8	2	2	0.4	0	0
9	2	2	0.5	0	0
9.2	2	2	0.6	0	0
9.4	2	2	0.7	0	0
9.6	2	2	0.8	0	0
9.8	2	2	0.9	0	0
10	2	2	1	0	0
10.2	2	2	1.1	0	0
10.4	2	2	1.2	0	0
10.6	2	2	1.3	0	0
10.8	2	2	1.4	0	0
11	2	2	1.5	0	0
11.2	2	2	1.6	0	0
11.4	2	2	1.7	0	0
11.6	2	2	1.8	0	0
11.8	2	2	1.9	0	0
12	2	2	2	0	0
12.2	1.9	1.9	1.9	0	0
12.4	1.8	1.8	1.8	0	0
12.6	1.7	1.7	1.7	0	0
12.8	1.6	1.6	1.6	0	0
13	1.5	1.5	1.5	0	0
13.2	1.4	1.4	1.4	0	0
13.4	1.3	1.3	1.3	0	0
13.6	1.2	1.2	1.2	0	0
13.8	1.1	1.1	1.1	0	0
14	1	1	1	0	0
14.2	0.9	0.9	0.9	0	0
14.4	0.8	0.8	0.8	0	0
14.6	0.7	0.7	0.7	0	0
14.8	0.6	0.6	0.6	0	0
15	0.5	0.5	0.5	0	0
15.2	0.4	0.4	0.4	0	0
15.4	0.3	0.3	0.3	0	0
15.6	0.2	0.2	0.2	0	0
15.8	0.1	0.1	0.1	0	0
16	0	0	0	0	0
16.2	0	0	0	0.1	0
16.4	0	0	0	0.2	0
16.6	0	0	0	0.3	0
16.8	0	0	0	0.4	0
17	0	0	0	0.5	0
17.2	0	0	0	0.6	0
17.4	0	0	0	0.7	0
17.6	0	0	0	0.8	0
17.8	0	0	0	0.9	0
18	0	0	0	1	0
18.2	0	0	0	1.1	0
18.4	0	0	0	1.2	0
18.6	0	0	0	1.3	0
18.8	0	0	0	1.4	0
19	0	0	0	1.5	0
19.2	0	0	0	1.6	0
19.4	0	0	0	1.7	0
19.6	0	0	0	1.8	0
19.8	0	0	0	1.9	0
20	0	0	0	2	0
20.2	0	0	0	2.1	0
20.4	0	0	0	2.2	0
20.6	0	0	0	2.3	0
20.8	0	0	0	2.4	0
21	0	0	0	2.5	0
21.2	0	0	0	2.6	0
21.4	0	0	0	2.7	0
21.6	0	0	0	2.8	0
21.8	0	0	0	2.9	0
22	0	0	0	3	0
22.2	0	0	0	2.9	0
22.4	0	0	0	2.8	0
22.6	0	0	0	2.7	0
22.8	0	0	0	2.6	0
23	0	0	0	2.5	0
23.2	0	0	0	2.4	0
23.4	0	0	0	2.3	0
23.6	0	0	0	2.2	0
23.8	0	0	0	2.1	0
24	0	0	0	2	0
24.2	0	0	0	1.9	0
24.4	0	0	0	1.8	0
24.6	0	0	0	1.7	0
24.8	0	0	0	1.6	0
25	0	0	0	1.5	0
25.2	0	0	0	1.4	0
25.4	0	0	0	1.3	0
25.6	0	0	0	1.2	0
25.8	0	0	0	1.1	0
26	0	0	0	1	0
26.2	0	0	0	0.9	0
26.4	0	0	0	0.8	0
26.6	0	0	0	0.7	0
26.8	0	0	0	0.6	0
27	0	0	0	0.5	0
27.2	0	0	0	0.4	0
27.4	0	0	0	0.3	0
27.6	0	0	0	0.2	0
27.8	0	0	0	0.1	0
28	0	0	0	0	0
28.2	0	0	0	-0.1	0
28.4	0	0	0	-0.2	0
28.6	0	0	0	-0.3	0
28.8	0	0	0	-0.4	0
29	0	0	0	-0.5	0
29.2	0	0	0	-0.6	0
29.4	0	0	0	-0.7	0
29.6	0	0	0	-0.8	0
29.8	0	0	0	-0.9	0
30	0	0	0	-1	0
